countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date
Argentina,Año Nuevo [New Year's Day],Año Nuevo [New Year's Day],,AR,2008-01-01
Australia,New Year's Day,New Year's Day,,AU,2008-01-01
Austria,Neujahr,Neujahr,,AT,2008-01-01
Belarus,Новый год,Новый год,,BY,2008-01-01
Belgium,Nieuwjaarsdag,Nieuwjaarsdag,,BE,2008-01-01
Brazil,Ano novo,Ano novo,,BR,2008-01-01
Canada,New Year's Day,New Year's Day,,CA,2008-01-01
Colombia,Año Nuevo [New Year's Day],Año Nuevo [New Year's Day],,CO,2008-01-01
Croatia,Nova Godina,Nova Godina,,HR,2008-01-01
Czech,Den obnovy samostatného českého státu,Den obnovy samostatného českého státu,,CZ,2008-01-01
Denmark,Nytårsdag,Nytårsdag,,DK,2008-01-01
England,New Year's Day,New Year's Day,,,2008-01-01
Finland,Uudenvuodenpäivä,Uudenvuodenpäivä,,FI,2008-01-01
France,Jour de l'an,Jour de l'an,,FR,2008-01-01
Germany,Neujahr,Neujahr,,DE,2008-01-01
Hungary,Újév,Újév,,HU,2008-01-01
Ireland,New Year's Day,New Year's Day,,IE,2008-01-01
Isle of Man,New Year's Day,New Year's Day,,IM,2008-01-01
Italy,Capodanno,Capodanno,,IT,2008-01-01
Japan,元日,元日,,JP,2008-01-01
Mexico,Año Nuevo [New Year's Day],Año Nuevo [New Year's Day],,MX,2008-01-01
Netherlands,Nieuwjaarsdag,Nieuwjaarsdag,,NL,2008-01-01
New Zealand,New Year's Day,New Year's Day,,NZ,2008-01-01
Northern Ireland,New Year's Day,New Year's Day,,,2008-01-01
Norway,Første nyttårsdag,Første nyttårsdag,,NO,2008-01-01
Poland,Nowy Rok,Nowy Rok,,PL,2008-01-01
Portugal,Ano Novo,Ano Novo,,PT,2008-01-01
Scotland,New Year's Day,New Year's Day,,,2008-01-01
Slovenia,novo leto,novo leto,,SI,2008-01-01
South Africa,New Year's Day,New Year's Day,,ZA,2008-01-01
Spain,Año nuevo,Año nuevo,,ES,2008-01-01
Sweden,Nyårsdagen,Nyårsdagen,,SE,2008-01-01
Switzerland,Neujahrestag,Neujahrestag,,CH,2008-01-01
Ukraine,Новий рік,Новий рік,,UA,2008-01-01
United Kingdom,New Year's Day,New Year's Day,True,GB,2008-01-01
United States,New Year's Day,New Year's Day,True,US,2008-01-01
Wales,New Year's Day,New Year's Day,,,2008-01-01
New Zealand,Day after New Year's Day,Day after New Year's Day,,NZ,2008-01-02
Scotland,New Year Holiday,New Year Holiday,,,2008-01-02
Slovenia,novo leto,novo leto,,SI,2008-01-02
United Kingdom,New Year Holiday [Scotland],New Year Holiday,True,GB,2008-01-02
Austria,Heilige Drei Könige,Heilige Drei Könige,,AT,2008-01-06
Croatia,Sveta tri kralja,Sveta tri kralja,,HR,2008-01-06
Finland,Loppiainen,Loppiainen,,FI,2008-01-06
Italy,Epifania del Signore,Epifania del Signore,,IT,2008-01-06
Norway,Søndag,Søndag,,NO,2008-01-06
Spain,Epifanía del Señor,Epifanía del Señor,,ES,2008-01-06
Sweden,"Trettondedag jul, Söndag","Trettondedag jul, Söndag",,SE,2008-01-06
Belarus,Рождество Христово (православное Рождество),Рождество Христово (православное Рождество),,BY,2008-01-07
Colombia,Día de los Reyes Magos [Epiphany](Observed),Día de los Reyes Magos [Epiphany],,CO,2008-01-07
Ukraine,Різдво Христове (православне),Різдво Христове (православне),,UA,2008-01-07
Norway,Søndag,Søndag,,NO,2008-01-13
Sweden,Söndag,Söndag,,SE,2008-01-13
India,Makar Sankranti / Pongal,Makar Sankranti / Pongal,False,IN,2008-01-14
Japan,成人の日,成人の日,,JP,2008-01-14
Norway,Søndag,Søndag,,NO,2008-01-20
Sweden,Söndag,Söndag,,SE,2008-01-20
United States,Martin Luther King Jr. Day,Martin Luther King Jr. Day,,US,2008-01-21
Australia,Australia Day,Australia Day,,AU,2008-01-26
India,Republic Day,Republic Day,True,IN,2008-01-26
Norway,Søndag,Søndag,,NO,2008-01-27
Sweden,Söndag,Söndag,,SE,2008-01-27
